iter	RMSE
0	5.193715857
1	5.106909286
2	5.009023079
3	4.913347324
4	4.834765543
5	4.761235671
6	4.668743656
7	4.583229221
8	4.500946192
9	4.424798742
10	4.349993614
11	4.274235163
12	4.201547035
13	4.1196496
14	4.052066616
15	3.980907185
16	3.915970732
17	3.850055358
18	3.78102669
19	3.71318189
20	3.659074209
21	3.591075546
22	3.531731675
23	3.475297714
24	3.420089294
25	3.362948204
26	3.312184749
27	3.260099257
28	3.215416784
29	3.162225741
30	3.11349855
31	3.07164598
32	3.019012505
33	2.97123152
34	2.923806449
35	2.882268927
36	2.836427454
37	2.794719901
38	2.749900784
39	2.704726853
40	2.666849016
41	2.628054828
42	2.586942027
43	2.556492685
44	2.516179869
45	2.481787918
46	2.449657539
47	2.415478911
48	2.383732572
49	2.35264179
50	2.320175207
51	2.290413442
52	2.255826468
53	2.228090635
54	2.196328545
55	2.167789377
56	2.142681527
57	2.120690462
58	2.093228133
59	2.065890303
60	2.041194766
61	2.016834549
62	1.992557371
63	1.965505352
64	1.942771994
65	1.917708494
66	1.891924627
67	1.869683863
68	1.850908721
69	1.832861322
70	1.814465474
71	1.791372812
72	1.773234877
73	1.755567676
74	1.736328245
75	1.719241858
76	1.701584199
77	1.686977921
78	1.672421941
79	1.655445676
80	1.639435146
81	1.624173692
82	1.607695355
83	1.594015232
84	1.580202258
85	1.567307608
86	1.554520071
87	1.541536084
88	1.525538006
89	1.514537765
90	1.499413747
91	1.488379656
92	1.47593565
93	1.463776776
94	1.45261633
95	1.443051877
96	1.430146176
97	1.417485298
98	1.407624001
99	1.394622791
100	1.382644132
101	1.372970976
102	1.362250014
103	1.350969804
104	1.342939754
105	1.331075748
106	1.320501362
107	1.310966569
108	1.302310104
109	1.29281328
110	1.285390367
111	1.273634993
112	1.265260967
113	1.257853959
114	1.248700563
115	1.241000679
116	1.233809127
117	1.22681175
118	1.219598954
119	1.213147769
120	1.207292552
121	1.198273578
122	1.192147469
123	1.18490276
124	1.178712666
125	1.172154116
126	1.164650787
127	1.15935509
128	1.154912308
129	1.149696164
130	1.144969433
131	1.135357531
132	1.12952885
133	1.124287658
134	1.119985689
135	1.113845101
136	1.10911581
137	1.102496459
138	1.097127728
139	1.092305349
140	1.086756946
141	1.082817972
142	1.07780576
143	1.072225636
144	1.067702197
145	1.063259585
146	1.057126446
147	1.05319302
148	1.048177826
149	1.042902342
150	1.037713002
151	1.03262644
152	1.024471803
153	1.020760176
154	1.015399911
155	1.011919011
156	1.00883403
157	1.006033164
158	1.001091198
159	0.9940644941
160	0.9899084497
161	0.9856904966
162	0.980302123
163	0.9747533203
164	0.9724929353
165	0.9695702375
166	0.9667706335
167	0.964810581
168	0.9614511423
169	0.958522583
170	0.954120158
171	0.9521791671
172	0.9496361755
173	0.947469419
174	0.9448129239
175	0.9420502346
176	0.9372484771
177	0.9338031242
178	0.9322803419
179	0.9286437619
180	0.924767852
181	0.9205381343
182	0.9178682048
183	0.9143009205
184	0.9090598049
185	0.9051377735
186	0.8990411744
187	0.8973449351
188	0.894467721
189	0.890485653
190	0.8881649026
191	0.885661938
192	0.8837942609
193	0.8814948626
194	0.8783172584
195	0.8740113913
196	0.8704252792
197	0.8671019289
198	0.8630346436
199	0.8613941905
200	0.8591435153
201	0.8562048553
202	0.8540230176
203	0.8505469398
204	0.8477748614
205	0.8458494337
206	0.8409367524
207	0.8392786548
208	0.838089378
209	0.837302972
210	0.8344954633
211	0.8331275617
212	0.8317042753
213	0.8282509165
214	0.8252845417
215	0.8226016505
216	0.8216280058
217	0.8163633342
218	0.8131701149
219	0.8118009221
220	0.8100380456
221	0.8074942885
222	0.8052406379
223	0.8036584097
224	0.8021009796
225	0.7990101869
226	0.7954558221
227	0.7946534692
228	0.7928823251
229	0.7903221806
230	0.7890039314
231	0.7835861801
232	0.7809428894
233	0.7790452524
234	0.7778583674
235	0.7725318145
236	0.770801056
237	0.7683837424
238	0.7655463932
239	0.7643435248
240	0.7627373776
241	0.7589810472
242	0.7582092975
243	0.757101717
244	0.7561755143
245	0.7543309955
246	0.7534195141
247	0.7524810983
248	0.7501401603
249	0.749053916
250	0.747765335
251	0.7458573776
252	0.7448399105
253	0.7436458042
254	0.7423109326
255	0.74140335
256	0.7397713976
257	0.7360025579
258	0.7349917649
259	0.7340526911
260	0.7331807677
261	0.7310108645
262	0.7290355963
263	0.7276899649
264	0.7268235814
265	0.7259736412
266	0.7250447733
267	0.7241633756
268	0.7232103312
269	0.7222104388
270	0.7216312779
271	0.7196996903
272	0.7185841563
273	0.7176672513
274	0.7168001512
275	0.714863246
276	0.7140245832
277	0.7117297917
278	0.7111084659
279	0.709776154
280	0.7083723795
281	0.7070503554
282	0.7062097194
283	0.7057467887
284	0.7036797435
285	0.702242852
286	0.7004456133
287	0.6996360458
288	0.6988392843
289	0.6967813182
290	0.696162093
291	0.6953833452
292	0.6937680255
293	0.6927060526
294	0.6919024817
295	0.6910358954
296	0.690338154
297	0.6885297265
298	0.6877103576
299	0.6858259933
300	0.685160171
301	0.6835462181
302	0.6821290877
303	0.6814185346
304	0.6810004147
305	0.680255133
306	0.6798577386
307	0.6789284494
308	0.6764906734
309	0.6736642943
310	0.672311921
311	0.6716406862
312	0.6671511146
313	0.6664477252
314	0.6648828948
315	0.6632631724
316	0.6623277044
317	0.6615275968
318	0.6609500058
319	0.6594619805
320	0.6589221199
321	0.6547961513
322	0.6542745188
323	0.6536585914
324	0.6498552757
325	0.6495153107
326	0.648181711
327	0.6466853344
328	0.6450699725
329	0.6444123293
330	0.6407662765
331	0.6401642087
332	0.6349000745
333	0.6302298027
334	0.6283620248
335	0.6272496067
336	0.6266978281
337	0.6232565904
338	0.6222788611
339	0.6211076821
340	0.6196554319
341	0.6190554229
342	0.6174220184
343	0.6165455967
344	0.6149269828
345	0.6141426229
346	0.6135687238
347	0.6130530326
348	0.6118624017
349	0.6106344589
350	0.6094437596
351	0.6079307401
352	0.6030125101
353	0.6014205814
354	0.6002766059
355	0.5976348082
356	0.5968773087
357	0.5940286464
358	0.5893552405
359	0.5881154576
360	0.5867347035
361	0.5860530636
362	0.5834229418
363	0.5827046467
364	0.5821847251
365	0.5802040685
366	0.5758174979
367	0.5749066308
368	0.5737927067
369	0.5703618015
370	0.5680378926
371	0.567316501
372	0.5663648392
373	0.5655600087
374	0.564874003
375	0.5630739404
376	0.5626114936
377	0.5621115334
378	0.5616353136
379	0.5598802295
380	0.5583011937
381	0.5573905545
382	0.5569311829
383	0.5564864194
384	0.5560347818
385	0.5554766256
386	0.554058181
387	0.553595468
388	0.5531397304
389	0.5526949096
390	0.5521292135
391	0.5503672236
392	0.5497156336
393	0.5479494886
394	0.5473467587
395	0.5457173307
396	0.5450361069
397	0.5445201045
398	0.5434453783
399	0.5413904099
400	0.540851738
401	0.5397835143
402	0.5392131645
403	0.5383156731
404	0.5378201502
405	0.5350527052
406	0.5336980369
407	0.5322170072
408	0.5306000474
409	0.5283755184
410	0.5253362389
411	0.5247879155
412	0.5237777962
413	0.5233577337
414	0.5203838366
415	0.5197957237
416	0.5177662216
417	0.517212268
418	0.5156896148
419	0.5124114083
420	0.5110428949
421	0.5105784492
422	0.5102475617
423	0.5090356434
424	0.5087888738
425	0.5078089518
426	0.5074112303
427	0.5058355259
428	0.5021680131
429	0.4984597285
430	0.4973064758
431	0.4962018881
432	0.4941406215
433	0.4918395799
434	0.4893645449
435	0.4879971251
436	0.4871962523
437	0.4863764397
438	0.4858069648
439	0.4854275626
440	0.4842046464
441	0.4807178441
442	0.4795460613
443	0.4782703313
444	0.4775071403
445	0.4771616887
446	0.4761446427
447	0.4754020246
448	0.4746483235
449	0.4717459626
